id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar,governismo,assinadas,autorias_ponderadas
204496,1204496,camara,Celso Sabino,M,PSDB,PA,Titular,1,1,4.1123875969344645,0,0
204504,1204504,camara,Cezinha De Madureira,M,PSD,SP,Titular,1,1,5.998663691079166,0,0
205476,1205476,camara,Charles Fernandes,M,PSD,BA,Titular,1,1,2.7013945487495494,0,0
204490,1204490,camara,Charlles Evangelista,M,PSL,MG,Titular,1,1,5.6170663382127515,0,0
204476,1204476,camara,Chiquinho Brazão,M,AVANTE,RJ,Titular,1,1,4.627529177817113,0,0
204462,1204462,camara,Chris Tonietto,F,PSL,RJ,Titular,1,1,8.948614812812611,0,0
204440,1204440,camara,Christino Aureo,M,PP,RJ,Titular,1,1,4.276354126637756,0,0
204376,1204376,camara,Coronel Armando,M,PSL,SC,Titular,1,1,7.741605578490837,0,0
204378,1204378,camara,Coronel Chrisóstomo,M,PSL,RO,Titular,1,1,7.204640407801865,0,0
204514,1204514,camara,Coronel Tadeu,M,PSL,SP,Titular,1,1,5.867946811534919,0,0
135054,1135054,camara,Cristiano Vale,M,PL,PA,Titular,1,1,5.764392316592865,0,0
204355,1204355,camara,Da Vitoria,M,CIDADANIA,ES,Titular,1,1,3.3555755468035606,0,0
204367,1204367,camara,Daniel Freitas,M,PSL,SC,Titular,1,1,7.617552863623473,0,0
204454,1204454,camara,Daniel Silveira,M,PSL,RJ,Titular,1,1,7.215764827800214,0,0
204409,1204409,camara,Daniel Trzeciak,M,PSDB,RS,Titular,1,1,3.7899818370231024,0,0
204459,1204459,camara,Daniela Do Waguinho,F,MDB,RJ,Titular,1,1,4.441483130831294,0,0
116379,1116379,camara,Darci De Matos,M,PSD,SC,Titular,1,1,5.24013533578154,0,0
205548,1205548,camara,David Miranda,M,PSOL,RJ,Efetivado,1,1,-5.245995552196576,6,0.6111111111111112
204511,1204511,camara,David Soares,M,DEM,SP,Titular,1,1,4.086977500808377,0,0
204451,1204451,camara,Delegado Antônio Furtado,M,PSL,RJ,Titular,1,1,3.4992460698125036,0,0
204512,1204512,camara,Delegado Marcelo Freitas,M,PSL,MG,Titular,1,1,5.250225608417519,0,0
204569,1204569,camara,Delegado Pablo,M,PSL,AM,Titular,1,1,5.32030782086631,0,0
204542,1204542,camara,Denis Bezerra,M,PSB,CE,Titular,1,1,-1.9292481557916723,2,0.10263157894736842
213856,1213856,camara,Deuzinho Filho,M,REPUBLICANOS,CE,Suplente,1,1,3.621131446468169,0,0
204518,1204518,camara,Dr. Frederico,M,PATRIOTA,MG,Titular,1,1,4.776341882807335,0,0
204481,1204481,camara,Dr. Jaziel,M,PL,CE,Titular,1,1,6.190851661274014,0,0
213679,1213679,camara,Dr. João,M,PROS,BA,Suplente,1,1,4.681286402044844,0,0
204439,1204439,camara,Dr. Leonardo,M,SOLIDARIEDADE,MT,Titular,1,1,3.4075139350562225,0,0
204450,1204450,camara,Dr. Luiz Antonio Teixeira Jr.,M,PP,RJ,Titular,1,1,4.632856671567801,0,0
204351,1204351,camara,Dr. Luiz Ovando,M,PSL,MS,Titular,1,1,7.225754156664987,0,0
204412,1204412,camara,Dr. Zacharias Calil,M,DEM,GO,Titular,1,1,4.26073864754575,0,0
81297,181297,camara,Dra. Soraya Manato,F,PSL,ES,Titular,1,1,6.465060013761082,0,0
204434,1204434,camara,Dra. Vanda Milani,F,SOLIDARIEDADE,AC,Titular,1,1,3.6645296675659527,0,0
204562,1204562,camara,Edilázio Júnior,M,PSD,MA,Titular,1,1,5.71643534721626,0,0
204421,1204421,camara,Edna Henrique,F,PSDB,PB,Titular,1,1,2.7540427978983235,0,0
204541,1204541,camara,Eduardo Bismarck,M,PDT,CE,Titular,1,1,0.6755208364679088,0,0
204552,1204552,camara,Eduardo Braide,M,PODE,MA,Titular,1,1,0.3043377207825042,0,0
204500,1204500,camara,Eduardo Costa,M,PTB,PA,Titular,1,1,3.968555999628663,0,0
204364,1204364,camara,Eli Borges,M,SOLIDARIEDADE,TO,Titular,1,1,2.8405671939670913,0,0
204389,1204389,camara,Elias Vaz,M,PSB,GO,Titular,1,1,-2.181965636630993,2,0.10263157894736842
198783,1198783,camara,Emanuel Pinheiro Neto,M,PTB,MT,Titular,1,1,3.5147353595738657,0,0
161550,1161550,camara,Emidinho Madeira,M,PSB,MG,Titular,1,1,2.3200162271548557,0,0
207309,1207309,camara,Enéias Reis,M,PSL,MG,Suplente,1,1,5.902452528836106,0,0
204537,1204537,camara,Enrico Misasi,M,PV,SP,Titular,1,1,2.3148839507705183,0,0
204482,1204482,camara,Euclydes Pettersen,M,PSC,MG,Titular,1,1,4.980769399331663,0,0
68720,168720,camara,Fábio Henrique,M,PDT,SE,Titular,1,1,-0.12839972580148284,0,0
