id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa,casa_origem,autor_nome,autor_uf,autor_partido,regime_tramitacao,forma_apreciacao,relator_id,relator_id_parlametria,id_leggo,status
2232027,PLP,265,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para estabelecer que a Lei de Diretrizes Orçamentárias deverá dispor sobre previsão de destinação de recursos para prevenção e combate a desastres naturais e incêndios. ",2019-12-04T16:34:00Z,camara,camara,Miguel Haddad,SP,PSDB,Prioridade,Plenário,NA,NA,370f372b97e8465f1b970cb588b7dec4,Ativa
2231918,PL,6286,"Altera a Lei nº 4.947, de 6 de abril de 1966, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, o Código Penal, e a Lei nº 6.739, de 5 de dezembro de 1979, para dispor sobre o crime de invasão de terras públicas a partir de fraude e falsificação de títulos de propriedade. ",2019-12-04T14:20:00Z,camara,camara,Alessandro Molon+Bira do Pindaré+Camilo Capiberibe+Frei Anastacio Ribeiro+Gervásio Maia+João H. Campos+Joenia Wapichana+Lídice da Mata+Nilto Tatto+Rodrigo Agostinho+Tadeu Alencar+Vilson da Fetaemg,RJ+MA+AP+PB+PB+PE+RR+BA+SP+SP+PE+MG,PSB+PSB+PSB+PT+PSB+PSB+REDE+PSB+PT+PSB+PSB+PSB,Ordinária,Conclusiva,NA,NA,4b69853c0c0f48dbb3ab7ea05f910e98,Ativa
2236765,PL,191,"Regulamenta o § 1º do art. 176 e o § 3º do art. 231 da Constituição para estabelecer as condições específicas para a realização da pesquisa e da lavra de recursos minerais e hidrocarbonetos e para o aproveitamento de recursos hídricos para geração de energia elétrica em terras indígenas e institui a indenização pela restrição do usufruto de terras indígenas. Altera as Leis nº 6.001, de 1973 e 11.460, de 2007.",2020-02-06T11:21:00Z,camara,camara,Poder Executivo,NA,NA,Prioridade,Conclusiva,NA,NA,1ae708c5fbb1605c0282b043b45ccbec,Ativa
2237205,PDL,48,"Susta a aplicação do artigo 4º do Decreto 10.239, de 12 de fevereiro de 2020, que dispõe sobre o Conselho Nacional da Amazônia Legal. ",2020-02-12T20:33:00Z,camara,camara,Célio Studart,CE,PV,Ordinária,Plenário,NA,NA,a4a3f5be1fb8872820020a9167fe20a1,Ativa
2237358,PDL,51,"Susta, nos termos do art. 49, V, da Constituição  Federal, o Decreto nº 10.239, de 11 de fevereiro de 2020, que dispõe sobre o Conselho Nacional da Amazônia - CONAMAZ. ",2020-02-13T15:40:00Z,camara,camara,Airton Faleiro+José Ricardo,PA+AM,PT+PT,Ordinária,Plenário,NA,NA,69ce86e60371e2a75e38223f04517519,Ativa
2237789,PL,378,"Altera a Lei nº 11.977, de 07 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida (PMCMV), entre outros assuntos, para tratar da incorporação de custos diferenciados para empreendimentos na Amazônia Legal. ",2020-02-18T18:22:00Z,camara,camara,Cássio Andrade,PA,PSB,Ordinária,Conclusiva,NA,NA,aed43c98e5b4db318cf84aac39f115b7,Ativa
2237825,PDL,61,"Susta o Decreto nº 10.239, de 2020, que ""dispõe sobre o Conselho Nacional da Amazônia Legal"". ",2020-02-19T09:34:00Z,camara,camara,José Guimarães,CE,PT,Ordinária,Plenário,NA,NA,ca11450eb2f242734de96fc04388dac1,Ativa
2238590,PL,572,"Dispõe sobre o sistema nacional de redução de emissões por desmatamento e degradação, conservação, manejo florestal sustentável, manutenção e aumento dos estoques de carbono florestal (REDD+), e dá outras providências. ",2020-03-09T11:34:00Z,camara,camara,Capitão Alberto Neto,AM,REPUBLICANOS,Indefinido,Indefinido,NA,NA,74ae4e0c9883afea658c2bd830f7fb04,Ativa
2252113,PDL,206,"Susta, nos termos do art. 49, inciso V, da Constituição Federal, os efeitos do parágrafo único do art. 4º do Decreto nº 10.341 de 06 de maio de 2020, que “autoriza o emprego das Forças Armadas na Garantia da Lei e da Ordem e em ações subsidiárias na faixa de fronteira, nas terras indígenas, nas unidades federais de conservação ambiental e em outras áreas federais nos Estados da Amazônia Legal”. ",2020-05-11T17:46:00Z,camara,camara,Tabata Amaral,SP,PDT,Ordinária,Plenário,NA,NA,c3d2c81ea769ce4bdb8486ede6fdb663,Ativa
2259759,PLP,208,"Altera o art. 2º da Lei Complementar nº 124, de 3 de janeiro de 2007. ",2020-08-10T11:03:00Z,camara,camara,Delegado Waldir,GO,PSL,Indefinido,Indefinido,NA,NA,b2c211e4a5852708d3840771c9568f2a,Ativa
