GW x geral,Pos/Neg/Neutro para o ambientalismo,id,sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,casa,tema,autor,link
,,2263452,PL,4735,2020,Estabelece o Cadastro Negativo da Pecuária e dispõe sobre as regras que lhes são aplicáveis.,0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",André Figueiredo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263452
,,2263453,PDL,415,2020,"Susta a Resolução CONAMA, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Afonso Florence; Airton Faleiro; Alencar Santana Braga; Alexandre Padilha; Beto Faro; Bohn Gass; Carlos Veras; Célio Moura; Enio Verri; Erika Kokay; Frei Anastacio Ribeiro; Gleisi Hoffmann; Helder Salomão; Jandira Feghali; João Daniel; João H. Campos; Jorge Solla; José Guimarães; Joseildo Ramos; Leonardo Monteiro; Luizianne Lins; Marcelo Freixo; Marcon; Margarida Salomão; Maria do Rosário; Marília Arraes; Merlong Solano; Natália Bonavides; Nilto Tatto; Padre João; Patrus Ananias; Paulão; Paulo Guedes; Paulo Teixeira; Pedro Uczai; Professora Rosa Neide; Rogério Correia; Rubens Otoni; Rui Falcão; Túlio Gadêlha; Valmir Assunção; Vander Loubet; Vicentinho; Waldenor Pereira,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263453
,,2263461,PDL,416,2020,"Susta os efeitos da Resolução nº 500 do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Alice Portugal; Jandira Feghali; Perpétua Almeida,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263461
,,2263463,PDL,417,2020,"Susta as decisões da Reunião Ordinária n°135 do Conselho Nacional do Meio Ambiente (CONAMA) que revogaram as resoluções nº 264, nº 284, nº 302 e nº 303, que dispõem sobre o licenciamento ambiental para atividades de irrigação e a ocupação de Áreas de Preservação Permanente (APPs) de manguezais e restingas, e institui nova Resolução que permite a incineração de resíduos perigosos.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Áurea Carolina; David Miranda; Edmilson Rodrigues; Fernanda Melchionna; Glauber Braga; Ivan Valente; Luiza Erundina; Marcelo Freixo; Sâmia Bomfim; Talíria Petrone,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263463
,,2263491,PL,4745,2020,Dispõe sobre a criação técnica das abelhas nativas sem ferrão e dos produtos e serviços oriundos da prática da Meliponicultura no território nacional.,0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Nilson F. Stainsack,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263491
,,2263522,PL,4750,2020,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para aumentar a pena do crime de provocação de incêndio em mata ou floresta.",0,139,camara,Meio Ambiente e Desenvolvimento Sustentável,Franco Cartafina,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263522
,,2263588,PDL,419,2020,"Susta os efeitos da portaria nº 354 de 28 de setembro de 2020, que aprova o Programa Mineração e Desenvolvimento - PMD e Designa a Secretaria de Geologia, Mineração e Transformação Mineral - SGM/MME como coordenadora da observância no cumprimento e no acompanhamento do Programa Mineração e Desenvolvimento - PMD.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,José Guimarães,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263588
,,2263589,PDL,420,2020,"Susta a aplicação Resolução 500 de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente - CONAMA, que revoga as Resoluções CONAMA 284/2001, 302/2002 e 303/2002.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart; Professor Israel Batista; Professora Rosa Neide,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263589
,,2263619,PDL,421,2020,"Susta a Resolução CONAMA, do Conselho Nacional do Meio Ambiente, que revoga as Resoluções CONAMA 302/2002 ,303/2002 ,284/2001 e 264/1999.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Nilto Tatto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263619
,,2263735,PDL,432,2020,"Susta os efeitos da Portaria nº 524, de 1º de outubro de 2020, que institui, no âmbito do Ministério do Meio Ambiente e entidades vinculadas, grupo de trabalho para análise de sinergias e ganhos de eficiência em caso de fusão entre o Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - Ibama e o Instituto Chico Mendes de Conservação da Biodiversidade - Instituto Chico Mendes.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,André Figueiredo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263735
,,2263746,PL,4803,2020,"Dispõe sobre a implantação do ensino teórico e prático da matéria de noções agrárias nas escolas de educação básica (infantil e fundamental) e médio, nas instituições públicas como disciplina obrigatória.",0,139,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Nivaldo Albuquerque,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263746
,,2263747,PL,4804,2020,Determina o impedimento imediato do uso da terra de domínio público ou devolutas sujeitas a desmatamento irregular.,0,139,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Felipe Carreras,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263747
,,2263777,PDL,439,2020,"Susta as decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (CONAMA), que alterou a Resolução Conama n.º 264/1999, e revogou as Resoluções Conama n.ºs 284/2001, 302/2002 e 303/2002.",0,557,camara,Meio Ambiente e Desenvolvimento Sustentável,Bira do Pindaré; Camilo Capiberibe; Carlos Veras; Célio Studart; Danilo Cabral; Edmilson Rodrigues; Enio Verri; Erika Kokay; Frei Anastacio Ribeiro; Gonzaga Patriota; João H. Campos; Joenia Wapichana; Jorge Solla; Júlio Delgado; Luiza Erundina; Marcelo Freixo; Nilto Tatto; Patrus Ananias; Paulo Teixeira; Professor Israel Batista; Professora Rosa Neide; Rafael Motta; Reginaldo Lopes; Rodrigo Agostinho; Sâmia Bomfim; Tadeu Alencar; Ted Conti; Túlio Gadêlha; Vilson da Fetaemg,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263777
